Tube_label,station,Chla,Bchla,ab_aaps,ab_bact,ab_chla,Proc,Syn,Peuk1
PSD1-5m,1,345.08,1.364,6921.258729,1010265.11,44152.85741,765472.8571,26395.55826,13459.15405
PSD1-30m,1,335.55,0.482307692,2147.976847,342157.524,28639.69129,667353.7925,8641.915038,11483.95371
PSD1-70m,1,387.21,0,6443.93054,894513.0246,18854.46343,450270.3411,519.4412944,9032.323144
PSD1-100m,1,225.89,0,238.6640941,457757.7325,6682.594634,281326.4964,317.6201545,463.1960587
PSD1-170m,1,5.99,0,477.3281882,234368.1404,6921.258729,115246.7498,532.6754675,261.3749188
PSD2-5m,2,777.1,2.976,43675.52922,2045351.286,102864.2246,889615.3813,33833.16354,5502.107469
PSD2-12m,2,968.92,3.4815,27446.37082,1819256.835,103818.8809,1097613.383,52006.99176,10818.93651
PSD2-25m,2,928.52,3.0305,21479.76847,1695628.834,113126.7806,991357.2453,55537.20744,12731.27453
PSD2-55m,2,303.36,1.104,10023.89195,762020.3575,14558.50974,677653.1646,10587.33848,2885.049737
PSD2-200m,2,22.92,0,1670.648659,283359.3699,11933.2047,149464.185,198.5125966,244.8322024
PSD3-5m,3,229.51,0.4785,11217.21242,854601.0446,65632.62587,345038.4504,6769.279543,1280.406248
PSD3-30m,3,346.97,0.854117647,8830.571481,813162.6634,82100.44837,455277.7706,11837.96784,3166.275915
PSD3-55m,3,409.26,0,11933.2047,802905.7899,81384.45608,283545.6982,2425.162222,2077.765178
PSD3-90m,3,117.42,0,6443.93054,540248.7221,23627.74531,211677.7036,770.8905834,813.901646
PSD3-200m,3,6.22,0,715.9922823,344392.2878,5966.602352,169000.7472,344.0885007,201.8211399
PSD4-5m,4,166.72,2.8248,3182.187921,629856.241,128878.6108,362526.5188,7096.825328,1157.990147
PSD4-60m,4,,,21718.43256,1315690.06,235800.125,406265.6572,7708.905834,1217.543926
PSD4-70m,4,409.35,0.8844,20525.11209,1099900.525,157040.9739,344526.3269,5144.784795,1171.22432
PSD4-75m,4,,,18615.79934,857102.4279,102386.8964,182145.2498,2405.310962,790.741843
PSD4-80m,4,355.74,0.6666,14081.18155,879397.632,91647.01213,173761.5988,1111.670541,1035.574045
PSD4-85m,4,307.71,0.462,5250.61007,667577.566,53222.09298,154528.5172,555.8352704,671.6342851
PSD4-100m,4,,,3341.297317,549111.0042,16467.82249,127139.3949,370.5568469,387.0995633
PSD4-110m,4,,,1431.984565,478601.0633,7875.915105,96867.20721,148.8844474,178.6613369
PSD4-160m,4,4.93,0,238.6640941,469734.3306,2147.976847,84215.86058,158.8100773,13.23417311
