ab_aaps,ab_chla,Bchla,station,Depth,Chla,DCM_layer,latitude,longitude,auto_picoplankton
6921.258729,44152.85741,1.364,1,5,345.08,surf,-48.1884,-55.4265,805327.5694
2147.976847,28639.69129,0.482307692,1,30,335.55,above_DCM,-48.1884,-55.4265,687479.6612
6443.93054,18854.46343,0,1,70,387.21,DCM,-48.1884,-55.4265,459822.1055
238.6640941,6682.594634,0,1,100,225.89,below_DCM,-48.1884,-55.4265,282107.3126
477.3281882,6921.258729,0,1,170,5.99,below_DCM,-48.1884,-55.4265,116040.8002
43675.52922,102864.2246,2.976,2,5,777.1,surf,-46.4414,-53.3155,928950.6523
27446.37082,103818.8809,3.4815,2,12,968.92,DCM,-46.4414,-53.3155,1160439.311
21479.76847,113126.7806,3.0305,2,25,928.52,below_DCM,-46.4414,-53.3155,1059625.727
10023.89195,14558.50974,1.104,2,55,303.36,below_DCM,-46.4414,-53.3155,691125.5528
1670.648659,11933.2047,0,2,200,22.92,below_DCM,-46.4414,-53.3155,149907.5298
11217.21242,65632.62587,0.4785,3,5,229.51,surf,-39.8781,-48.3962,353088.1362
8830.571481,82100.44837,0.854117647,3,30,346.97,above_DCM,-39.8781,-48.3962,470282.0144
11933.2047,81384.45608,0,3,55,409.26,DCM,-39.8781,-48.3962,288048.6256
6443.93054,23627.74531,0,3,90,117.42,below_DCM,-39.8781,-48.3963,213262.4958
715.9922823,5966.602352,0,3,200,6.22,below_DCM,-39.8781,-48.3963,169546.6568
3182.187921,128878.6108,2.8248,4,5,166.72,surf,-38.782,-46.6232,370781.3343
20525.11209,157040.9739,0.8844,4,70,409.35,DCM,-38.782,-46.6232,350842.336
14081.18155,91647.01213,0.6666,4,80,355.74,below_DCM,-38.782,-46.6232,175908.8434
5250.61007,53222.09298,0.462,4,85,307.71,below_DCM,-38.782,-46.6232,155755.9868
238.6640941,2147.976847,0,4,160,4.93,below_DCM,-38.782,-46.6232,84387.90483
11455.87652,219332.3025,0.966428571,5,5,127.63,surf,-36.0743,-44.2727,482179.5257
22275.31545,281623.631,1.579285714,5,50,572.4,above_DCM,-36.0743,-44.2727,674441.6582
