station,latitude,BChla_light_int,Chla_light_int
1,-48.1884,0.048,18.492
2,-46.4414,0.114,30.344
3,-39.8781,0.048,20.358
4,-38.782,0.271,21.391
5,-36.0743,0.085,27.036
6,-32.3514,0.086,9.717
7,-29.5206,0.029,6.702
8,-26.6273,0.050,8.105
9,-25.2406,0.025,16.100
10,-22.6046,0.109,12.756
11,-19.12383,0.094,14.337
12,-16.11522,0.042,16.958
13,-14.395095,0.041,11.706
14,-12.02134,0.156,17.030
16,-6.23941,0.111,26.582
17,-3.0956,0.281,24.161
18,4.42994,0.195,23.415
19,5.99514,0.185,20.545
20,9.04936,0.210,38.714
21,12.37616,0.192,30.340
22,13.691815,0.172,22.401
23,16.68902,0.135,14.951
24,18.03778,0.244,24.010
25,20.764055,0.182,19.222
26,23.09882,0.385,21.209
27,23.84456,0.342,18.971
28,25.59742,0.249,20.231
