station,stationID,lat,lon,file,date,PAR,Kd,Sunrise,Sunset,number of hours,day_lengh_h,day_lengh_s
1,01S,-48.1884,-55.4265,PAR_20190302.nc,m02,22.708,0.046,09:16,22:31,13:15,13.25,47700
2,02S,-46.4414,-53.3155,PAR_20190303.nc,m03,14.446,0.061,09:11,22:18,13:07,13.12,47520
3,03S,-39.8781,-48.39625,PAR_20190305.nc,m05,48.716,0.0535,09:00,21:49,12:49,12.82,46140
4,04S,-38.782,-46.6232,PAR_20190306.nc,m06,50.472,0.0335,08:55,21:40,12:45,12.75,45900
5,05S,-36.0743,-44.2727,PAR_20190307.nc,m07,24.578,0.04,08:48,21:27,12:39,12.65,45540
6,06S,-32.3514,-41.02375,PAR_20190309.nc,m09,12.412,0.036,08:39,21:10,12:31,12.52,45060
7,07S,-29.5206,-38.4797,PAR_20190310.nc,m10,9.744,0.029,08:31,20:57,12:26,12.43,44760
8,08S,-26.6273,-35.994,PAR_20190311.nc,m11,11.616,0.026,08:23,20:45,12:22,12.37,44520
9,09S,-25.2406,-34.8701,PAR_20190312.nc,m12,47.724,0.029,08:19,20:39,12:20,12.33,44400
10,10S,-22.60455,-33.1202,PAR_20190313.nc,m13,49.894,0.043,08:13,20:30,12:17,12.28,44220
11,11S,-19.12383667,-32.58316167,PAR_20190314.nc,m14,56.6355,0.023,08:12,20:26,12:14,12.23,44040
12,12S,-16.11522125,-30.792705,PAR_20190315.nc,m15,56.623,0.023,08:06,20:18,12:12,12.2,43920
13,13S,-14.39509833,-30.66303167,PAR_20190316.nc,m16,57.374,0.024,08:06,20:16,12:10,12.17,43800
14,14S,-12.0213375,-30.51507,PAR_20190317.nc,m17,57.414,0.023,08:06,20:15,12:09,12.15,43740
16,16S,-6.2394175,-29.65524625,PAR_20190319.nc,m19,46.518,0.039,08:03,20:10,12:07,12.12,43620
17,17S,-3.0956,-29.0125,PAR_20190320.nc,m20,56.746,0.032,08:00,20:07,12:07,12.12,43620
18,18S,4.429948571,-29.53519071,PAR_20190322.nc,m22,54.654,0.049,08:02,20:09,12:07,12.12,43620
19,19S,5.995133333,-29.74910667,PAR_20190323.nc,m23,56.11,0.04425,08:02,20:09,12:07,12.12,43620
20,20S,9.04936,-29.88176833,PAR_20190324.nc,m24,54.006,0.042,08:02,20:10,12:08,12.13,43680
21,21S,12.37615125,-29.75386,PAR_20190325.nc,m25,55.346,0.036,08:00,20:10,12:10,12.17,43800
22,22S,13.691815,-29.71312,PAR_20190326.nc,m26,56.474,0.035,07:59,20:10,12:11,12.18,43860
23,23S,16.68902,-29.65582,PAR_20190327.nc,m27,38.006,0.032,07:58,20:11,12:13,12.22,43980
24,24S,18.03778333,-29.58478333,PAR_20190328.nc,m28,56.2,0.02775,07:56,20:11,12:15,12.25,44100
25,25S,20.764049,-27.685673,PAR_20190329.nc,m29,55.978,0.03,07:47,20:04,12:17,12.28,44220
26,26S,23.0988075,-25.11954667,PAR_20190330.nc,m30,54.642,0.036,07:35,19:55,12:20,12.33,44400
27,27S,23.84456,-23.82698,PAR_20190331.nc,m31,55.006,0.033,07:29,19:51,12:22,12.37,44520
28,28S,25.59741,-20.6326225,PAR_20190401.nc,a01,54.304,0.033,07:14,19:39,12:25,12.42,44700
